inchikey,smiles_can,in_m2or,m2or_id,in_leffingwell,leffingwell_id,in_goodscents,goodscents_id,skeleton,in_chembl,in_chembl_skeleton,is_odorant,chembl_id
IQZUZPKOFSOVET-CMDGGOBGSA-N,CC(C)COC(=O)/C=C/c1ccccc1,0,,1,778574,1,778574,IQZUZPKOFSOVET,1,1,1,CHEMBL2286136
IUSBVFZKQJGVEP-SNAWJCMRSA-N,C/C=C/c1ccc(OC(C)=O)c(OC)c1,0,,1,876160,1,876160,IUSBVFZKQJGVEP,1,1,1,CHEMBL1609480
UCPAPCWOXXMNFC-UHFFFAOYSA-N,O=C(CSCc1nc2ccccc2[nH]1)Nc1ccc2ccccc2c1,0,,1,877369,0,,UCPAPCWOXXMNFC,1,1,1,CHEMBL1337210
IRAQOCYXUMOFCW-ABHRYQDASA-N,CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@@H]3C,0,,1,1201552,0,,IRAQOCYXUMOFCW,0,1,1,
BOCRJYUZWIOMOJ-NTMALXAHSA-N,CC/C(C=O)=C/c1ccccc1,0,,1,1384928,0,,BOCRJYUZWIOMOJ,0,0,1,
YKPUWZUDDOIDPM-SOFGYWHQSA-N,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,0,,1,1548943,1,1548943,YKPUWZUDDOIDPM,1,1,1,CHEMBL294199
XMLSXPIVAXONDL-SNAWJCMRSA-N,CC/C=C/CC1=C(C)CCC1=O,0,,1,1549019,1,1549019,XMLSXPIVAXONDL,0,1,1,
VZIRCHXYMBFNFD-HNQUOIGGSA-N,O=C/C=C/c1ccco1,0,,1,1549521,0,,VZIRCHXYMBFNFD,1,1,1,CHEMBL1994615
HNZUNIKWNYHEJJ-FMIVXFBMSA-N,CC(=O)CC/C=C(\C)CCC=C(C)C,0,,1,1549778,1,1549778,HNZUNIKWNYHEJJ,0,1,1,
OZZYKXXGCOLLLO-TWTPFVCWSA-N,C/C=C/C=C/C(=O)OCC,0,,1,1550470,1,1550470,OZZYKXXGCOLLLO,1,1,1,CHEMBL398921
YKSSSKBJDZDZTD-CLTKARDFSA-N,C/C=C\c1ccc(OCc2ccccc2)c(OC)c1,0,,1,1550886,0,,YKSSSKBJDZDZTD,0,1,1,
NQBWNECTZUOWID-MZXMXVKLSA-N,O=C(/C=C/c1ccccc1)OC/C=C/c1ccccc1,0,,1,1550890,1,1550890,NQBWNECTZUOWID,1,1,1,CHEMBL1095954
BGTBFNDXYDYBEY-ALCCZGGFSA-N,C/C=C\C(=O)C1=C(C)CCCC1(C)C,0,,1,1616260,1,1616260,BGTBFNDXYDYBEY,0,1,1,
LTUMRKDLVGQMJU-IUBLYSDUSA-N,CC(=O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0,,1,1711945,1,1711945,LTUMRKDLVGQMJU,1,1,1,CHEMBL486207
HMKKIXGYKWDQSV-KAMYIIQDSA-N,CCCCC/C(C=O)=C/c1ccccc1,0,,1,1712058,1,1712058,HMKKIXGYKWDQSV,1,1,1,CHEMBL1611291
