pattern,tag,obs,exp,obs_exp,p
010,honey,0,1.94,0.0,1.0
010,animal,2,1.94,1.0313390313390314,0.6149466426277859
010,plum,2,1.72,1.1602564102564101,0.5452224333111767
010,berry,0,1.72,0.0,1.0
010,tobacco,0,1.72,0.0,1.0
010,phenolic,2,1.72,1.1602564102564101,0.5452224333111767
010,camphoreous,3,1.72,1.7403846153846154,0.2347958984493627
010,musty,2,1.72,1.1602564102564101,0.5452224333111767
010,meaty,2,1.72,1.1602564102564101,0.5452224333111767
010,minty,1,1.72,0.5801282051282051,0.8626510704631071
010,jasmine,3,1.72,1.7403846153846154,0.2347958984493627
010,pine,3,1.51,1.989010989010989,0.17191753098647697
010,burnt,1,1.51,0.663003663003663,0.8229724908191158
010,melon,3,1.51,1.989010989010989,0.17191753098647697
010,cherry,3,1.51,1.989010989010989,0.17191753098647697
010,orange,2,1.51,1.326007326007326,0.4676157995957233
010,milky,0,1.29,0.0,1.0
010,strawberry,1,1.29,0.7735042735042735,0.7722072492157741
010,dry,2,1.29,1.547008547008547,0.38313057999308164
010,medicinal,1,1.29,0.7735042735042735,0.7722072492157741
010,terpenic,1,1.29,0.7735042735042735,0.7722072492157741
010,jasmin,3,1.29,2.3205128205128203,0.11528794538325687
010,roasted,1,1.29,0.7735042735042735,0.7722072492157741
010,coffee,1,1.29,0.7735042735042735,0.7722072492157741
010,cinnamon,1,1.29,0.7735042735042735,0.7722072492157741
010,cucumber,2,1.08,1.8564102564102565,0.29384970178980657
010,coumarinic,1,1.08,0.9282051282051282,0.7073611376786586
010,buttery,0,1.08,0.0,1.0
010,almond,1,1.08,0.9282051282051282,0.7073611376786586
010,chicken,3,1.08,2.7846153846153845,0.06775711813834799
010,onion,1,1.08,0.9282051282051282,0.7073611376786586
010,hay,2,1.08,1.8564102564102565,0.29384970178980657
010,orris,0,1.08,0.0,1.0
010,acidic,0,1.08,0.0,1.0
010,winey,0,1.08,0.0,1.0
110,sweet,10,6.18,1.6189624329159211,0.02659315381166982
