node,tag,obs,exp,obs_exp,p
3,jasmin,3,2.14,1.4013157894736843,0.3656477302214733
3,strawberry,3,2.14,1.4013157894736843,0.3656477302214733
3,cucumber,2,2.14,0.9342105263157896,0.6969598488383919
3,terpenic,5,2.14,2.335526315789474,0.02276074930682717
3,dry,4,2.14,1.8684210526315792,0.12169651850354327
3,orris,3,2.14,1.4013157894736843,0.3656477302214733
3,caramellic,3,1.78,1.681578947368421,0.24367212436250824
3,cocoa,3,1.78,1.681578947368421,0.24367212436250824
3,metallic,1,1.78,0.5605263157894737,0.8928021233986148
3,almond,2,1.78,1.1210526315789473,0.5865224759660856
3,coumarinic,1,1.78,0.5605263157894737,0.8928021233986148
3,hay,3,1.78,1.681578947368421,0.24367212436250824
3,cooling,3,1.78,1.681578947368421,0.24367212436250824
3,grassy,2,1.78,1.1210526315789473,0.5865224759660856
3,amber,3,1.78,1.681578947368421,0.24367212436250824
3,cabbage,2,1.78,1.1210526315789473,0.5865224759660856
3,potato,2,1.78,1.1210526315789473,0.5865224759660856
3,peach,0,1.78,0.0,1.0
3,savory,2,1.78,1.1210526315789473,0.5865224759660856
3,grape,4,1.78,2.2421052631578946,0.05573933903906587
3,lemon,1,1.78,0.5605263157894737,0.8928021233986148
3,apricot,0,1.78,0.0,1.0
3,leafy,2,1.78,1.1210526315789473,0.5865224759660856
4,sweet,29,37.11,0.781404174573055,0.9926911136809937
4,fruity,32,31.13,1.028054298642534,0.4558312372558513
4,green,25,25.54,0.9788602941176471,0.6230171505752304
4,floral,18,23.15,0.7776876267748478,0.9631709635698785
4,fatty,35,21.15,1.6548279689234184,8.69831951735644e-06
4,waxy,31,17.96,1.7262745098039216,9.661578928149683e-06
4,fresh,14,14.77,0.9481717011128775,0.6773009293848871
4,woody,4,12.37,0.3233396584440228,0.9999180176896585
4,herbal,6,11.17,0.5369747899159664,0.9924790494902357
4,citrus,13,10.38,1.2529411764705882,0.18150790132735342
4,oily,13,9.58,1.3573529411764707,0.09885459634328267
4,balsamic,3,9.18,0.3268542199488491,0.9993881611082115
4,cheesy,20,8.78,2.2780748663101607,2.469272082807016e-07
4,creamy,14,8.38,1.6705882352941175,0.008658935045573997
4,spicy,3,7.98,0.3758823529411765,0.9974335146142352
4,vegetable,8,7.58,1.055108359133127,0.5104779714052033
4,rose,9,7.58,1.1869969040247677,0.32268270921935965
4,aldehydic,11,7.18,1.5313725490196077,0.04893163950760928
4,tropical,8,7.18,1.1137254901960785,0.4314062820637951
4,nutty,5,7.18,0.696078431372549,0.9141564613736406
4,powdery,4,6.78,0.5896193771626298,0.9592301200428459
4,dairy,14,6.78,2.0636678200692042,0.00026050690987897406
4,sour,16,6.38,2.5058823529411764,1.6340138952776453e-07
4,apple,6,5.99,1.0023529411764707,0.598359222266849
4,banana,5,5.59,0.8949579831932772,0.7258441187599409
4,sulfurous,3,5.19,0.5782805429864253,0.9468327459561545
4,musk,4,4.79,0.8352941176470589,0.779857212083845
4,pineapple,7,4.79,1.461764705882353,0.14972009157509156
4,pungent,8,4.79,1.6705882352941177,0.051378432217566765
4,earthy,1,4.79,0.2088235294117647,0.9982132389127549
4,coconut,9,4.79,1.8794117647058823,0.012715884687894748
4,odorless,11,4.39,2.505882352941177,2.7046306761971648e-05
4,musty,2,4.39,0.4556149732620321,0.9724717656219357
4,sharp,6,4.39,1.3668449197860963,0.23903672523208389
4,orange,8,4.39,1.8224598930481284,0.02560340053111875
4,burnt,1,3.99,0.25058823529411767,0.9946930374370874
4,meaty,1,3.99,0.25058823529411767,0.9946930374370874
4,pear,5,3.99,1.2529411764705882,0.36205008885966894
4,buttery,8,3.99,2.0047058823529413,0.010457054638282393
4,animal,4,3.99,1.0023529411764707,0.618960714542794
4,milky,9,3.99,2.255294117647059,0.0013061373280270894
4,phenolic,2,3.59,0.5568627450980392,0.9329048304546039
4,honey,2,3.59,0.5568627450980392,0.9329048304546039
4,roasted,1,3.59,0.2784313725490196,0.9909023498921496
4,camphoreous,0,3.59,0.0,1.0
4,tobacco,3,3.19,0.9397058823529412,0.6866347330154221
4,plum,0,3.19,0.0,1.0
4,minty,0,3.19,0.0,1.0
4,coffee,0,3.19,0.0,1.0
4,melon,1,3.19,0.31323529411764706,0.9844581810657557
4,berry,2,3.19,0.6264705882352941,0.8971157275509944
4,jasmine,0,3.19,0.0,1.0
4,acidic,8,3.19,2.5058823529411764,0.0005231454531863472
4,medicinal,0,2.79,0.0,1.0
4,cherry,0,2.79,0.0,1.0
4,onion,2,2.79,0.7159663865546219,0.8444954789171013
4,pine,0,2.79,0.0,1.0
4,chicken,1,2.79,0.35798319327731093,0.9735403743764105
4,winey,5,2.79,1.7899159663865545,0.09168146989725005
4,cinnamon,1,2.39,0.4176470588235294,0.9551053893107949
4,jasmin,0,2.39,0.0,1.0
4,strawberry,2,2.39,0.8352941176470589,0.7689570035262862
4,cucumber,2,2.39,0.8352941176470589,0.7689570035262862
4,terpenic,0,2.39,0.0,1.0
4,dry,0,2.39,0.0,1.0
4,orris,3,2.39,1.2529411764705882,0.45370570502026325
4,caramellic,0,2.0,0.0,1.0
4,cocoa,1,2.0,0.5011764705882353,0.9240806583467102
4,metallic,1,2.0,0.5011764705882353,0.9240806583467102
4,almond,1,2.0,0.5011764705882353,0.9240806583467102
4,coumarinic,1,2.0,0.5011764705882353,0.9240806583467102
4,hay,0,2.0,0.0,1.0
4,cooling,0,2.0,0.0,1.0
4,grassy,4,2.0,2.0047058823529413,0.08378416016591535
4,amber,0,2.0,0.0,1.0
4,cabbage,3,2.0,1.503529411764706,0.3141544635482637
