smiles_id,cluster,class_group,inchikey,row,in_universe
SML0230,5,,NDVASEGYNIMXJL-NXEZZACHSA-N,723421,True
SML0232,5,,ARJWAURHQDJJAC-GQCTYLIASA-N,720606,True
SML0233,1,,AMXYRHBJZOVHOL-ODYTWBPASA-N,720576,True
SML0234,3,Class I only,DIVCBWJKVSFZKJ-UHFFFAOYSA-M,721266,True
SML0235,3,,TWOGJUHCCNLYPC-UHFFFAOYSA-N,724861,True
SML0236,4,shared,CZCBTSFUTPZVKJ-UHFFFAOYSA-N,721166,True
SML0237,3,Class I only,ROWKJAVDOGWPAT-UHFFFAOYSA-N,724524,True
SML0239,2,Class I only,LEGGANXCVQPIAI-UHFFFAOYSA-N,722929,True
SML0240,1,shared,IFYYFLINQYPWGJ-UHFFFAOYSA-N,722215,True
SML0241,1,Class I only,WGPCZPLRVAWXPW-UHFFFAOYSA-N,725413,True
SML0242,1,shared,OALYTRUKMRCXNH-UHFFFAOYSA-N,723662,True
SML0243,1,shared,IPBFYZQJXZJBFQ-UHFFFAOYSA-N,722296,True
SML0244,1,shared,PHXATPHONSXBIL-UHFFFAOYSA-N,723982,True
SML0245,3,,WNVCMFHPRIBNCW-YUMQZZPRSA-N,725489,True
SML0246,0,,IUFQZPBIRYFPFD-UHFFFAOYSA-N,722342,True
SML0247,1,shared,QRPLZGZHJABGRS-UHFFFAOYSA-N,724321,True
SML0248,1,shared,FYTRVXSHONWYNE-UHFFFAOYSA-N,721671,True
SML0249,3,Class II only,NDFKTBCGKNOHPJ-AATRIKPKSA-N,723411,True
SML0250,1,,PANBRUWVURLWGY-MDZDMXLPSA-N,723893,True
SML0251,5,,OGLDWXZKYODSOB-SNVBAGLBSA-N,723714,True
SML0252,1,Class II only,XMGQYMWWDOXHJM-UHFFFAOYSA-N,725762,True
SML0253,1,,BSAIUMLZVGUGKX-FPLPWBNLSA-N,720850,True
SML0254,1,,LVBXEMGDVWVTGY-SREVYHEPSA-N,723089,True
SML0255,3,shared,NPFVOOAXDOBMCE-PLNGDYQASA-N,723555,True
SML0256,3,,GXANMBISFKBPEX-ARJAWSKDSA-N,721901,True
SML0257,3,,VVGOCOMZRGWHPI-ARJAWSKDSA-N,725314,True
SML0258,1,,VWYBQOFZVSNDAW-WAYWQWQTSA-N,725326,True
SML0259,5,,DHKHKXVYLBGOIT-UHFFFAOYSA-N,721253,True
SML0260,4,shared,SATCULPHIDQDRE-UHFFFAOYSA-N,724639,True
SML0261,1,Class I only,OQWNKUAZQSLNSR-UHFFFAOYSA-N,723808,True
SML0262,4,shared,ZFMSMUAANRJZFM-UHFFFAOYSA-N,726214,True
SML0263,0,shared,RUVINXPYWBROJD-ONEGZZNKSA-N,724589,True
SML0264,4,Class II only,MMSLOZQEMPDGPI-UHFFFAOYSA-N,723265,True
SML0266,2,,KLIDCXVFHGNTTM-UHFFFAOYSA-N,722747,True
SML0268,3,shared,ZQPCOAKGRYBBMR-UHFFFAOYSA-N,726318,True
SML0269,4,Class I only,FZOZFDAMVVEZSJ-UHFFFAOYSA-N,721675,True
SML0270,0,shared,HEQOJEGTZCTHCF-UHFFFAOYSA-N,721976,True
SML0271,3,,IFNDEOYXGHGERA-UHFFFAOYSA-N,722207,True
SML0276,4,shared,HSDXVAOHEOSTFZ-UHFFFAOYSA-N,722104,True
SML0277,4,shared,ZMRFRBHYXOQLDK-UHFFFAOYSA-N,726278,True
SML0278,4,shared,WRMNZCZEMHIOCP-UHFFFAOYSA-N,725545,True
SML0279,0,shared,MDHYEMXUFSJLGV-UHFFFAOYSA-N,723168,True
SML0280,3,,OVNCGQSYSSYBPO-UHFFFAOYSA-N,723853,True
SML0281,3,,HMNKTRSOROOSPP-UHFFFAOYSA-N,722042,True
