SML,SMILES,InChIKey,Odors
SML0136,CC(CC1=CC2=C(C=C1)OCO2)C=O,BOPPSUHPZARXTH-UHFFFAOYSA-N,"ozone, melon, floral, fresh, green, hay"
SML0137,CC1=CCC(CC1O)C(=C)C,BAVONGHXFVOKBV-UHFFFAOYSA-N,"minty, cooling, herbal, spicy, sweet, green"
SML0138,CC(CCC=C(C)C)CC(=O)O,GJWSUKYXUMVMGX-UHFFFAOYSA-N,"tobacco, fatty, smoky, floral, green, waxy, vegetable, grassy"
SML0139,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,NFLGAXVYCFJBMK-BDAKNGLRSA-N,"minty, cooling, anise, mentholic, herbal, sweet, camphoreous, fresh, green"
SML0140,CCCCCCCCCO,ZWRUINPWMLAQRD-UHFFFAOYSA-N,"clean, fatty, oily, floral, rose, fresh, orange"
SML0141,CC1=CC[C@H](CC1OC(=O)C)C(=C)C,YTHRBOFHFYZBRJ-JHJMLUEUSA-N,
SML0142,CCCCCCCCC(=O)O,FBUKVWPVBMHYJY-UHFFFAOYSA-N,"cheesy, fatty, nutty, dairy, waxy"
SML0143,CCCCCC(C=C)O,VSMOENVRRABVKN-UHFFFAOYSA-N,"chicken, oily, sweet, earthy, green, mushroom, vegetable"
SML0144,CSCCCO,CZUGFKJYCPYHHV-UHFFFAOYSA-N,"cooked, meaty, sweet, onion, savory, mushroom, vegetable, sulfurous"
SML0145,C(=CCl)Cl,KFUSEUYYWQURPO-UHFFFAOYSA-N,
SML0146,CC(CCCC(C)(C)O)CC=O,WPFVBOQKRVRMJB-UHFFFAOYSA-N,"lily, tropical, melon, sweet, floral, green, waxy"
SML0147,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,DNRJTBAOUJJKDY-UHFFFAOYSA-N,"amber, powdery, sweet, fruity, musk"
SML0148,CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,IKTHMQYJOWTSJO-UHFFFAOYSA-N,"cedar, animal, woody, musk"
SML0149,CC1C(C2=C(C1(C)C)C(=O)CCC2)(C)C,MIZGSAALSYARKU-UHFFFAOYSA-N,"clean, spicy, woody, musk"
SML0150,CC(=CCCC(=CC=O)C)C,WTEVQBCEXWBHNA-UHFFFAOYSA-N,"sharp, lemon, sweet"
SML0151,C[C@H](CCC=C(C)C)CCO,QMVPMAAFGQKVCJ-SNVBAGLBSA-N,"oily, leafy, floral, rose"
SML0152,CC(=CCC/C(=C/C#N)/C)C,HLCSDJLATUNSSI-JXMROGBWSA-N,"metallic, sharp, lemon, sweet, green, fruity"
SML0153,CC1=NC=CN=C1C(=O)C,QUNOTZOHYZZWKQ-UHFFFAOYSA-N,"popcorn, coffee, hazelnut, nutty, roasted, caramellic, cocoa, vegetable"
SML0154,C(CCC(=O)O)CC(=O)O,WNLRTRBMVRJNCN-UHFFFAOYSA-N,odorless
SML0155,C(CC(=O)O)C(=O)O,KDYFGRWQOYBRFD-UHFFFAOYSA-N,odorless
SML0156,CC(=O)CCC1=CC=C(C=C1)O,NJGBTKGETPDVIK-UHFFFAOYSA-N,"jammy, raspberry, berry, ripe, sweet, floral, woody, fruity"
SML0157,CCCCS,WQAQPCDUOCURKW-UHFFFAOYSA-N,"cheesy, coffee, fatty, meaty, beefy, onion, roasted, garlic, savory, sulfurous"
SML0158,CCCCCCO,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,"herbal, pungent, fatty, winey, oily, sweet, green, fruity, ethereal, alcoholic"
SML0159,CCCCCCCO,BBMCTIGTTCKYKF-UHFFFAOYSA-N,"herbal, musty, pungent, fatty, violet, leafy, sweet, fresh, banana, green, woody, fruity, vegetable, apple"
SML0160,CCCCCO,AMQJEAYHLZJPGS-UHFFFAOYSA-N,"bready, pungent, balsamic, winey, oily, solvent, fermented, sweet, alcoholic"
SML0161,CCCCCCC(C(=O)O)Br,GTGTXZRPJHDASG-UHFFFAOYSA-N,
SML0162,CCCCC(C(=O)O)Br,HZTPKMIMXLTOSK-UHFFFAOYSA-N,
SML0163,CCCCCC=O,JARKCYVAAOWBJS-UHFFFAOYSA-N,"clean, fatty, leafy, fresh, green, aldehydic, woody, fruity, vegetable, grassy"
SML0164,C1=CC=C(C=C1)CC(=O)[O-],WLJVXDMOQOGPHL-UHFFFAOYSA-M,
SML0165,CC(C)C12CCC(O1)(CC2)C,RFFOTVCVTJUTAD-UHFFFAOYSA-N,"minty, terpenic, cooling, herbal, camphoreous, pine, fresh, green"
SML0166,CCCC(C)C=O,FTZILAQGHINQQR-UHFFFAOYSA-N,"cheesy, green, fruity, ethereal, cocoa, vegetable"
SML0167,CCCC(C(=O)O)Br,WMFATTFQNRPXBQ-UHFFFAOYSA-N,
