SML,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotBonds,AromaticRings,RingCount,FracCsp3,HeavyAtoms,nO,nN,nS,fg_alcohol,fg_phenol,fg_carboxylic_acid,fg_ester,fg_ether,fg_aldehyde,fg_ketone,fg_amine,fg_aromatic,fg_benzene,fg_lactone,fg_sulfide,fg_nitrile,fg_halogen,fg_terpene_isopropyl
SML0731,CCC(=O)OC/C=C(\C)/CCC=C(C)C,210.31699999999995,3.6323000000000025,26.3,0,2,6,0,0,0.6153846153846154,15,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SML0732,CC(=O)C1=CC=C(C=C1)OC,150.17699999999996,1.8978,26.3,0,2,2,1,1,0.2222222222222222,11,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
SML0733,CC(C)CCCC(C)CC=O,156.269,3.0378000000000016,17.07,0,1,6,0,0,0.9,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SML0734,CCCC(=O)OC/C=C(\C)/CCC=C(C)C,224.34399999999994,4.022400000000004,26.3,0,2,7,0,0,0.6428571428571429,16,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SML0735,CN1C=CC2=CC=CC=C21,131.17799999999997,2.1783,4.93,0,1,0,2,2,0.1111111111111111,10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SML0736,COC(=O)C1=CN=CC=C1,137.138,0.8681999999999999,39.19,0,3,1,1,1,0.14285714285714285,10,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
SML0737,CC1=C(C(=C(C(=C1C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C,266.29699999999997,3.725760000000003,86.28,0,4,2,1,1,0.5384615384615384,19,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SML0738,CC1CC=CCCCCCCCCC(=O)C1,222.37199999999993,4.662400000000004,17.07,0,1,0,0,1,0.8,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SML0739,CC(C1CCCC(C1)(C)C)OC(=O)C,198.30599999999998,3.1544000000000016,26.3,0,2,2,0,1,0.9166666666666666,14,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SML0740,CCCCC(C)C(=O)O,130.18699999999998,1.8973,37.3,1,1,4,0,0,0.8571428571428571,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SML0741,CCCC(C)CC(=O)O,130.187,1.8973,37.3,1,1,4,0,0,0.8571428571428571,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SML0742,CCC/C(=C/C(=O)O)/C,128.17099999999996,1.8174000000000001,37.3,1,1,3,0,0,0.5714285714285714,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SML0743,CCCC(C)(CC(=O)O)O,146.186,1.0122,57.53,2,2,4,0,0,0.8571428571428571,10,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SML0744,CCCCCC(C)C(=O)O,144.214,2.2874,37.3,1,1,5,0,0,0.875,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SML0745,CCC1=NC=C(N=C1C)C,136.19799999999998,1.65584,25.78,0,2,1,1,1,0.5,10,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SML0746,CCC(C)C1=C(C=CC=N1)OC,165.23599999999996,2.603700000000001,22.12,0,2,3,1,1,0.5,12,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
SML0747,CC(C)CC1=C(C=CC=N1)OC,165.23599999999996,2.2887000000000004,22.12,0,2,3,1,1,0.5,12,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
SML0748,C1C2CC(C1C=C2)C(=O)O,138.16599999999997,1.2832000000000001,37.3,1,1,1,0,2,0.625,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SML0749,CCOC(=O)C(C)S,134.2,0.8677999999999999,26.3,1,3,2,0,0,0.8,8,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SML0750,CC(=O)C1=CC2=CC=CC=C2C=C1,170.21099999999998,3.0424000000000015,17.07,0,1,1,2,2,0.08333333333333333,13,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
SML0768,C[C@H]1CCC[C@@]2([C@@]1(CCCC2)O)C,182.307,3.1178000000000017,20.23,1,1,0,0,2,1.0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0769,C=CCSS(=O)CC=C,162.27899999999997,1.7553,17.07,0,2,5,0,0,0.3333333333333333,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0770,CC1=CC2=C(C=C1)C(CC=C2)(C)C,172.271,3.6895200000000026,0.0,0,0,0,1,2,0.38461538461538464,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
