molecule,n_receptors,group_id,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0374,2,G011,6,CCC1=CC(=C(C=C1)O)OC,CHWNEIVBYREQRF-UHFFFAOYSA-N,"phenolic, smoky, spicy, vanilla, sweet, medicinal, woody, clove","frozenset({'smoky', 'phenolic', 'spicy', 'vanilla', 'woody', 'clove', 'sweet', 'medicinal'})",8
SML0680,9,G012,5,CCCCCCCCN1CCCC1=O,WPPOGHDFAVQKLN-UHFFFAOYSA-N,,frozenset(),0
SML0689,9,G012,5,CC/C=C\CCCCO,VDHRTASWKDTLER-ARJAWSKDSA-N,"fruity, green, melon, mushroom","frozenset({'green', 'fruity', 'mushroom', 'melon'})",4
SML0690,9,G012,5,CC/C=C\CCCCCO,XJHRZBIBSSVCEL-ARJAWSKDSA-N,"fruity, green, melon, waxy, juicy, vegetable, clean, fatty, cucumber, fresh","frozenset({'fruity', 'vegetable', 'fresh', 'cucumber', 'melon', 'green', 'fatty', 'clean', 'waxy', 'juicy'})",10
SML0708,9,G012,5,CCCCCC1CCCC1=O,VNWOJVJCRAHBJJ-UHFFFAOYSA-N,"floral, rose, herbal, oily, coconut, green, jasmine","frozenset({'oily', 'rose', 'floral', 'green', 'coconut', 'jasmine', 'herbal'})",7
SML0714,9,G012,5,CCCCCCCCC=CC#N,HETFMJQWNWIBPN-UHFFFAOYSA-N,,frozenset(),0
SML0178,6,G013,5,CCCCC/C=C/C=C/C=O,JZQKTMZYLHNFPL-BLHCBFLLSA-N,"citrus, fatty, chicken, melon, cucumber, nutty, oily, brothy","frozenset({'oily', 'citrus', 'cucumber', 'melon', 'nutty', 'fatty', 'chicken', 'brothy'})",8
SML0183,6,G013,5,CC/C=C\CCCCCC=O,UZFFFFWQKMPLAC-ARJAWSKDSA-N,"aldehydic, citrus, cucumber","frozenset({'citrus', 'aldehydic', 'cucumber'})",3
SML0423,6,G013,5,CCCCCCC(=O)C,ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,"apple, cheesy, fatty, fruity, green, musty, natural, weedy, herbal, woody, earthy, dairy, ketonic","frozenset({'fruity', 'natural', 'dairy', 'green', 'woody', 'fatty', 'earthy', 'apple', 'ketonic', 'musty', 'cheesy', 'herbal', 'weedy'})",13
SML0517,6,G013,5,CCCC/C=C\CCCCC=O,YBBNUDDZOWRHOD-WAYWQWQTSA-N,,frozenset(),0
SML0538,6,G013,5,CC/C=C\CCCCC=O,RTNPCOBSXBGDMO-ARJAWSKDSA-N,"citrus, cucumber, fresh, vegetable, melon, green, woody, orris, waxy","frozenset({'citrus', 'vegetable', 'fresh', 'cucumber', 'melon', 'green', 'orris', 'waxy', 'woody'})",9
SML0206,8,G014,5,CCCCCCCCCCCCCC(=O)C,CJPNOLIZCWDHJK-UHFFFAOYSA-N,"dairy, fatty, fruity, waxy, floral, oily, burnt, fresh, jasmine, celery","frozenset({'oily', 'fruity', 'dairy', 'fresh', 'floral', 'fatty', 'celery', 'waxy', 'jasmine', 'burnt'})",10
SML0574,8,G014,5,CCCCCCCCCC(C)C=O,NFAVNWJJYQAGNB-UHFFFAOYSA-N,"dry, fatty, fruity, metallic, aldehydic, amber, fresh, coumarinic, citrus, waxy","frozenset({'dry', 'fruity', 'citrus', 'fresh', 'amber', 'aldehydic', 'fatty', 'waxy', 'coumarinic', 'metallic'})",10
SML0655,8,G014,5,CCC(C)CCCC(C)(C)O,WRFXXJKURVTLSY-UHFFFAOYSA-N,"citrus, floral, sweet, fresh, lily","frozenset({'citrus', 'fresh', 'floral', 'lily', 'sweet'})",5
SML0671,8,G014,5,CC(CCCC(C)(C)O)C=C,XSNQECSCDATQEL-UHFFFAOYSA-N,"citrus, floral, fresh, herbal, clean, weedy","frozenset({'citrus', 'fresh', 'floral', 'clean', 'herbal', 'weedy'})",6
SML0688,8,G014,5,CC(C)CCCC(C)CC#N,SAPMLSXAXRULJB-UHFFFAOYSA-N,"metallic, aldehydic, fatty, lemon, citrus","frozenset({'citrus', 'lemon', 'aldehydic', 'fatty', 'metallic'})",5
SML0125,1,G015,4,CCCCC(=O)O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,"cheesy, sour, fruity, acidic, tobacco, milky, sharp","frozenset({'fruity', 'sharp', 'sour', 'milky', 'acidic', 'tobacco', 'cheesy'})",7
SML0556,1,G015,4,C(CCBr)CC(=O)O,WNXNUPJZWYOKMW-UHFFFAOYSA-N,,frozenset(),0
SML0740,1,G015,4,CCCCC(C)C(=O)O,CVKMFSAVYPAZTQ-UHFFFAOYSA-N,"fatty, chicken, fruity, acidic, savory, oily, roasted, cheesy","frozenset({'oily', 'fruity', 'savory', 'roasted', 'fatty', 'chicken', 'acidic', 'cheesy'})",8
