rank,taxid,pct_odorant,pct_background,odds_ratio,n_odorant,n_background,p,q,taxon
genus,21819,3.1553398058252426,0.03254297299584101,100.08566416040101,13,50,2.745567781820538e-21,8.0335313296068935e-19,Mentha
genus,58889,0.0,0.04816360003384469,0.0,0,74,1.0,1.0,Ononis
genus,63484,0.0,0.07615055681026796,0.0,0,117,1.0,1.0,Periploca
genus,41227,0.24271844660194175,0.05337047571317925,4.556435819832651,1,82,0.19934831442366863,1.0,Plectranthus
genus,81513,0.0,0.014969767578086863,0.0,0,23,1.0,1.0,Pterocaulon
genus,202994,0.0,0.047512740573927875,0.0,0,73,1.0,1.0,Rhodiola
genus,122811,0.0,0.013017189198336403,0.0,0,20,1.0,1.0,Sonneratia
genus,5094,0.0,0.16531830281887233,0.0,0,254,1.0,1.0,Talaromyces
genus,13422,0.24271844660194175,0.08331001086935298,2.918092305352798,1,128,0.2922041700963121,1.0,Chrysanthemum
genus,76950,0.0,0.04100414597475967,0.0,0,63,1.0,1.0,Atalantia
genus,26473,0.24271844660194175,0.05727563247268017,4.245603848706039,1,88,0.21211719338395965,1.0,Buddleja
genus,3484,0.970873786407767,0.08200829194951934,11.944989106753813,4,126,0.00043898189630136436,0.032111525714444804,Humulus
genus,53625,0.0,0.0872151676288539,0.0,0,134,1.0,1.0,Millettia
genus,81542,0.0,0.03384469191567465,0.0,0,52,1.0,1.0,Negombata
genus,2944,0.0,0.027986956776423266,0.0,0,43,1.0,1.0,Prorocentrum
genus,4450,0.0,0.014969767578086863,0.0,0,23,1.0,1.0,Sagittaria
genus,4005,0.0,0.04230586489459331,0.0,0,65,1.0,1.0,Linum
genus,179012,0.0,0.027336097316506446,0.0,0,42,1.0,1.0,Pachychalina
genus,41619,0.0,0.021478362177255066,0.0,0,33,1.0,1.0,Palafoxia
genus,57937,0.0,0.04100414597475967,0.0,0,63,1.0,1.0,Sanguisorba
genus,49656,0.0,0.05857735139251381,0.0,0,90,1.0,1.0,Smilax
genus,430986,0.0,0.029939535156173726,0.0,0,46,1.0,1.0,Vepris
genus,41495,0.0,0.05857735139251381,0.0,0,90,1.0,1.0,Calendula
genus,25628,0.0,0.3137142596799073,0.0,0,482,0.6440905299678892,1.0,Taxus
genus,41477,0.0,0.023430940557005526,0.0,0,36,1.0,1.0,Arctotis
genus,3132,0.0,0.014969767578086863,0.0,0,23,1.0,1.0,Codium
genus,66679,0.24271844660194175,0.11715470278502763,2.0743849689105165,1,180,0.3842985515593729,1.0,Daphne
genus,106722,0.0,0.060529929772264277,0.0,0,93,1.0,1.0,Dorstenia
genus,55623,0.0,0.05597391355284653,0.0,0,86,1.0,1.0,Gaillardia
genus,295145,0.0,0.015620627038003683,0.0,0,24,1.0,1.0,Guatteria
genus,42308,0.0,0.050116178413595155,0.0,0,77,1.0,1.0,Hypoxylon
genus,102782,0.0,0.04295672435451013,0.0,0,66,1.0,1.0,Liatris
genus,3337,0.0,0.1444908001015341,0.0,0,222,1.0,1.0,Pinus
genus,41656,0.0,0.04621102165409423,0.0,0,71,1.0,1.0,Ursinia
genus,3883,0.0,0.07484883789043432,0.0,0,115,1.0,1.0,Phaseolus
genus,40948,0.0,0.1392839244221995,0.0,0,214,1.0,1.0,Angelica
genus,21019,0.0,0.020176643257421426,0.0,0,31,1.0,1.0,Castanea
genus,99043,0.0,0.028637816236340086,0.0,0,44,1.0,1.0,Cotula
genus,4387,0.0,0.1099952487259426,0.0,0,169,1.0,1.0,Daphniphyllum
genus,128717,0.0,0.03319383245575783,0.0,0,51,1.0,1.0,Hymenoxys
genus,233713,0.0,0.015620627038003683,0.0,0,24,1.0,1.0,Mimusops
genus,59293,0.0,0.08656430816893708,0.0,0,133,1.0,1.0,Solidago
genus,52858,0.0,0.024732659476839166,0.0,0,38,1.0,1.0,Strophanthus
genus,37991,0.0,0.11715470278502763,0.0,0,180,1.0,1.0,Xylaria
genus,41660,0.0,0.04035328651484285,0.0,0,62,1.0,1.0,Verbesina
genus,247880,0.0,0.018224064877670965,0.0,0,28,1.0,1.0,Dalea
genus,20145,0.0,0.017573205417754145,0.0,0,27,1.0,1.0,Drypetes
genus,179681,0.0,0.09502548114785575,0.0,0,146,1.0,1.0,Excoecaria
genus,43488,0.0,0.014318908118170043,0.0,0,22,1.0,1.0,Guettarda
genus,41617,0.0,0.014969767578086863,0.0,0,23,1.0,1.0,Osteospermum
genus,69923,0.0,0.03189211353592419,0.0,0,49,1.0,1.0,Penstemon
genus,1622065,0.0,0.030590394616090547,0.0,0,47,1.0,1.0,Phlegmariurus
genus,3653,1.2135922330097086,0.15099939470070228,8.123517326103533,5,232,0.00047988100872150104,0.03343171027426457,Citrullus
genus,59969,0.0,0.016271486497920505,0.0,0,25,1.0,1.0,Aegiceras
genus,99023,0.0,0.014969767578086863,0.0,0,23,1.0,1.0,Ajania
genus,3515,0.0,0.06378422707184837,0.0,0,98,1.0,1.0,Alnus
genus,25666,0.0,0.024732659476839166,0.0,0,38,1.0,1.0,Araucaria
genus,4216,0.0,0.04686188111401105,0.0,0,72,1.0,1.0,Arctium
genus,80276,0.0,0.05597391355284653,0.0,0,86,1.0,1.0,Boswellia
genus,39983,0.0,0.03384469191567465,0.0,0,52,1.0,1.0,Bruguiera
genus,12979,0.0,0.022780081097088706,0.0,0,35,1.0,1.0,Butea
genus,112816,0.0,0.20502072987379835,0.0,0,315,1.0,1.0,Casearia
genus,61134,0.0,0.07810313519001842,0.0,0,120,1.0,1.0,Ceriops
genus,149357,0.0,0.013017189198336403,0.0,0,20,1.0,1.0,Cissus
genus,5199,0.0,0.014318908118170043,0.0,0,22,1.0,1.0,Cladonia
genus,16399,0.0,0.026034378396672806,0.0,0,40,1.0,1.0,Codonopsis
genus,13442,3.6407766990291264,0.03840070813509239,98.35460871792682,15,59,3.130845615617048e-24,2.2902135678238706e-21,Coffea
genus,5455,0.0,0.047512740573927875,0.0,0,73,1.0,1.0,Colletotrichum
genus,3655,0.24271844660194175,0.029288675696256906,8.304839145715059,1,45,0.11591654425028974,1.0,Cucumis
genus,406287,0.0,0.013017189198336403,0.0,0,20,1.0,1.0,Curio
genus,132436,0.0,0.018874924337587785,0.0,0,29,1.0,1.0,Deguelia
genus,48243,0.0,0.021478362177255066,0.0,0,33,1.0,1.0,Discaria
genus,155633,0.0,0.024732659476839166,0.0,0,38,1.0,1.0,Dysoxylum
genus,32194,0.0,0.022780081097088706,0.0,0,35,1.0,1.0,Echinops
genus,3402,0.24271844660194175,0.13082275144328084,1.8574039776785174,1,201,0.4180088233083441,1.0,Magnolia
genus,434654,0.0,0.023430940557005526,0.0,0,36,1.0,1.0,Eremanthus
genus,53876,0.0,0.04295672435451013,0.0,0,66,1.0,1.0,Erythrophleum
genus,43486,0.0,0.13472790820278177,0.0,0,207,1.0,1.0,Gardenia
genus,271517,0.0,0.018224064877670965,0.0,0,28,1.0,1.0,Glochidion
genus,123423,0.0,0.03449555137559147,0.0,0,53,1.0,1.0,Gymnosporia
genus,335160,0.0,0.022780081097088706,0.0,0,35,1.0,1.0,Halimium
genus,190259,0.0,0.03774984867517557,0.0,0,58,1.0,1.0,Ixeris
genus,179689,0.0,0.013668048658253223,0.0,0,21,1.0,1.0,Joannesia
genus,189218,0.0,0.016922345957837325,0.0,0,26,1.0,1.0,Kleinia
genus,37507,0.0,0.027986956776423266,0.0,0,43,1.0,1.0,Leptogorgia
genus,114078,0.0,0.027986956776423266,0.0,0,43,1.0,1.0,Mesua
