comparison,tag,n_I,n_II,pct_I,pct_II,gap,p,q,stars
exclusive,potato,1,2,1.4285714285714286,2.6315789473684212,-1.2030075187969926,,,
exclusive,cherry,1,2,1.4285714285714286,2.6315789473684212,-1.2030075187969926,,,
exclusive,terpenic,1,2,1.4285714285714286,2.6315789473684212,-1.2030075187969926,,,
exclusive,jammy,1,2,1.4285714285714286,2.6315789473684212,-1.2030075187969926,,,
exclusive,anise,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,brown,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,weedy,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,chemical,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,peppery,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,natural,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,marine,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,orangeflower,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,gasoline,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,ozone,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,violet,0,1,0.0,1.3157894736842106,-1.3157894736842106,,,
exclusive,animal,3,5,4.285714285714286,6.578947368421052,-2.2932330827067666,,,
exclusive,mushroom,1,3,1.4285714285714286,3.9473684210526314,-2.518796992481203,,,
exclusive,soapy,1,3,1.4285714285714286,3.9473684210526314,-2.518796992481203,,,
exclusive,strawberry,1,3,1.4285714285714286,3.9473684210526314,-2.518796992481203,,,
exclusive,ketonic,1,3,1.4285714285714286,3.9473684210526314,-2.518796992481203,,,
exclusive,cooling,1,3,1.4285714285714286,3.9473684210526314,-2.518796992481203,,,
exclusive,leathery,0,2,0.0,2.6315789473684212,-2.6315789473684212,,,
exclusive,anisic,0,2,0.0,2.6315789473684212,-2.6315789473684212,,,
exclusive,hawthorn,0,2,0.0,2.6315789473684212,-2.6315789473684212,,,
exclusive,amber,0,2,0.0,2.6315789473684212,-2.6315789473684212,,,
exclusive,fishy,0,2,0.0,2.6315789473684212,-2.6315789473684212,,,
exclusive,vanilla,0,2,0.0,2.6315789473684212,-2.6315789473684212,,,
exclusive,warm,0,2,0.0,2.6315789473684212,-2.6315789473684212,,,
exclusive,grape,0,2,0.0,2.6315789473684212,-2.6315789473684212,,,
exclusive,aromatic,0,2,0.0,2.6315789473684212,-2.6315789473684212,,,
exclusive,oily,6,9,8.571428571428571,11.842105263157896,-3.2706766917293244,0.5923039216687229,0.6317908497799711,ns
exclusive,camphoreous,3,6,4.285714285714286,7.894736842105263,-3.6090225563909772,,,
exclusive,phenolic,3,6,4.285714285714286,7.894736842105263,-3.6090225563909772,,,
exclusive,medicinal,0,3,0.0,3.9473684210526314,-3.9473684210526314,,,
exclusive,hay,0,3,0.0,3.9473684210526314,-3.9473684210526314,,,
exclusive,raspberry,0,3,0.0,3.9473684210526314,-3.9473684210526314,,,
exclusive,coconut,0,3,0.0,3.9473684210526314,-3.9473684210526314,,,
exclusive,leafy,0,3,0.0,3.9473684210526314,-3.9473684210526314,,,
exclusive,metallic,3,7,4.285714285714286,9.210526315789474,-4.924812030075189,0.3307109487229068,0.4040503743483595,ns
