sml,SMILES,cluster,MolWt,LogP,TPSA,HBD,HBA,OxygenAtoms,RotBonds,FracCSP3,AromaticRings,RingCount,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur,cluster_name
SML0172,C[C@@H](CCC=C(C)C)CCO,1,156.26899999999998,2.751300000000001,20.23,1,1,1,5,0.8,0,0,0,0,0,0,1,0,0,0,0,Fruity / Fatty / Aldehydic
SML0173,C1CCNC1,5,71.123,0.36979999999999996,12.03,1,1,0,0,1.0,0,1,0,0,0,0,0,0,0,1,0,Fermented / Solvent
SML0174,C[C@H](CCC=C(C)C)CC=O,1,154.253,2.9579000000000013,17.07,0,1,1,5,0.7,0,0,0,0,1,0,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0177,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,0,190.28599999999994,3.4342000000000024,17.07,0,1,1,2,0.46153846153846156,0,1,0,0,0,1,0,0,0,0,0,Floral / Balsamic
SML0178,CCCCC/C=C/C=C/C=O,1,152.23699999999997,2.878000000000001,17.07,0,1,1,6,0.5,0,0,0,0,1,0,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0179,CC/C=C\CC/C=C/C=O,1,138.20999999999998,2.4879000000000007,17.07,0,1,1,5,0.4444444444444444,0,0,0,0,1,0,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0180,CC1=CCCC(C1/C=C/C(=O)C)(C)C,0,192.30199999999996,3.5141000000000027,17.07,0,1,1,2,0.6153846153846154,0,1,0,0,0,1,0,0,0,0,0,Floral / Balsamic
SML0181,CC/C=C\CC/C=C\C=O,1,138.20999999999998,2.4879000000000007,17.07,0,1,1,5,0.4444444444444444,0,0,0,0,1,0,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0182,CCCCC/C=C\CCC=O,1,154.253,3.102000000000001,17.07,0,1,1,7,0.7,0,0,0,0,1,0,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0183,CC/C=C\CCCCCC=O,1,154.25300000000001,3.102000000000001,17.07,0,1,1,7,0.7,0,0,0,0,1,0,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0184,C/C=C/C(=O)C1=C(CCCC1(C)C)C,0,192.30199999999996,3.6582000000000026,17.07,0,1,1,2,0.6153846153846154,0,1,0,0,0,1,0,0,0,0,0,Floral / Balsamic
SML0186,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,0,222.37199999999999,4.396300000000004,20.23,1,1,1,7,0.6,0,0,0,0,0,0,1,0,0,0,0,Floral / Balsamic
