sml,group,rate_I,rate_II,MolWt,LogP,TPSA,HBD,HBA,AromaticRings,RotBonds,RingCount,FracCSP3,Heteroatoms,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur
SML0720,Class II only,0.0,0.016172506738544475,156.22499999999997,2.2739000000000003,26.3,0,2,0,0,1,0.8888888888888888,2,0,1,0,0,0,1,0,0,0
SML0721,shared,0.03225806451612903,0.04043126684636118,129.16199999999995,2.2233800000000006,23.79,0,1,1,1,1,0.0,1,0,0,0,0,0,0,1,0,0
SML0722,shared,0.03225806451612903,0.026954177897574125,181.32299999999998,4.430880000000004,23.79,0,1,0,9,0,0.9166666666666666,1,0,0,0,0,0,0,0,0,0
SML0723,shared,0.016129032258064516,0.0215633423180593,208.257,2.2646000000000006,35.53,0,3,1,5,1,0.4166666666666667,3,0,1,0,0,0,1,1,0,0
SML0724,Class II only,0.0,0.016172506738544475,131.178,2.4763199999999994,15.79,1,0,2,0,2,0.1111111111111111,1,0,0,0,0,0,0,1,0,0
SML0726,shared,0.0967741935483871,0.05660377358490566,180.203,1.7583,35.53,0,3,1,3,1,0.3,3,0,1,0,0,0,1,1,0,0
SML0727,shared,0.27419354838709675,0.05929919137466307,182.263,2.852100000000001,26.3,0,2,0,6,0,0.5454545454545454,2,0,1,0,0,0,1,0,0,0
SML0728,shared,0.3064516129032258,0.1105121293800539,196.29,3.242200000000002,26.3,0,2,0,5,0,0.5833333333333334,2,0,1,0,0,0,1,0,0,0
SML0729,shared,0.04838709677419355,0.0215633423180593,156.225,2.2723000000000004,26.3,0,2,0,3,1,0.8888888888888888,2,0,1,0,0,0,1,0,0,0
SML0730,shared,0.03225806451612903,0.0215633423180593,212.33299999999994,3.8327000000000027,26.3,0,2,0,7,1,0.9230769230769231,2,0,1,0,0,0,1,0,0,0
SML0731,Class II only,0.0,0.018867924528301886,210.31699999999995,3.6323000000000025,26.3,0,2,0,6,0,0.6153846153846154,2,0,1,0,0,0,1,0,0,0
SML0732,shared,0.03225806451612903,0.03234501347708895,150.17699999999996,1.8978,26.3,0,2,1,2,1,0.2222222222222222,2,0,0,0,1,0,1,1,0,0
SML0733,shared,0.016129032258064516,0.016172506738544475,156.269,3.0378000000000016,17.07,0,1,0,6,0,0.9,1,0,0,1,0,0,0,0,0,0
SML0734,Class II only,0.0,0.018867924528301886,224.34399999999994,4.022400000000004,26.3,0,2,0,7,0,0.6428571428571429,2,0,1,0,0,0,1,0,0,0
SML0735,Class II only,0.0,0.026954177897574125,131.17799999999997,2.1783,4.93,0,0,2,0,2,0.1111111111111111,1,0,0,0,0,0,0,1,0,0
SML0736,shared,0.03225806451612903,0.03504043126684636,137.138,0.8681999999999999,39.19,0,3,1,1,1,0.14285714285714285,3,0,1,0,0,0,1,0,0,0
SML0738,Class II only,0.0,0.016172506738544475,222.37199999999993,4.662400000000004,17.07,0,1,0,0,1,0.8,1,0,0,0,1,0,0,0,0,0
SML0739,shared,0.04838709677419355,0.026954177897574125,198.30599999999998,3.1544000000000016,26.3,0,2,0,2,1,0.9166666666666666,2,0,1,0,0,0,1,0,0,0
SML0740,Class I only,0.016129032258064516,0.0,130.18699999999998,1.8973,37.3,1,1,0,4,0,0.8571428571428571,2,1,0,0,0,0,0,0,0,0
SML0741,Class I only,0.03225806451612903,0.0,130.187,1.8973,37.3,1,1,0,4,0,0.8571428571428571,2,1,0,0,0,0,0,0,0,0
SML0742,Class I only,0.016129032258064516,0.0,128.17099999999996,1.8174000000000001,37.3,1,1,0,3,0,0.5714285714285714,2,1,0,0,0,0,0,0,0,0
SML0744,Class I only,0.016129032258064516,0.0,144.214,2.2874,37.3,1,1,0,5,0,0.875,2,1,0,0,0,0,0,0,0,0
SML0746,Class II only,0.0,0.04851752021563342,165.23599999999996,2.603700000000001,22.12,0,2,1,3,1,0.5,2,0,0,0,0,0,1,0,0,0
SML0747,shared,0.016129032258064516,0.0673854447439353,165.23599999999996,2.2887000000000004,22.12,0,2,1,3,1,0.5,2,0,0,0,0,0,1,0,0,0
SML0748,Class I only,0.016129032258064516,0.0,138.16599999999997,1.2832000000000001,37.3,1,1,0,1,2,0.625,2,1,0,0,0,0,0,0,0,0
SML0749,Class II only,0.0,0.0215633423180593,134.2,0.8677999999999999,26.3,1,3,0,2,0,0.8,3,0,1,0,0,0,1,0,0,1
SML0750,Class II only,0.0,0.0215633423180593,170.21099999999998,3.0424000000000015,17.07,0,1,2,1,2,0.08333333333333333,1,0,0,0,1,0,0,1,0,0
