rank,taxid,pct_odorant,pct_background,odds_ratio,ci_lo,ci_hi,n_odorant,n_background,p,q,taxon
genus,459628,0.0,0.023550653530635474,5.124880535202294,0.31401652500994026,83.64018581271783,0,36,1.0,1.0,Embelia
genus,3387,0.0,0.019625544608862896,6.133294540201056,0.3744153412088822,100.46944603125601,0,30,1.0,1.0,Ephedra
genus,65352,0.0,0.022242283890044616,5.422046014936228,0.3318620573885193,88.58675565211773,0,34,1.0,1.0,Erysimum
genus,372452,0.0,0.018317174968272038,6.563787068650819,0.4000627239996083,107.69136462368809,0,28,1.0,1.0,Esenbeckia
genus,266078,0.0,0.06214755792806584,1.9579677917550482,0.12137831524117905,31.58420732675925,0,95,1.0,1.0,Haplophyllum
genus,37500,0.0,0.023550653530635474,5.124880535202294,0.31401652500994026,83.64018581271783,0,36,1.0,1.0,Maackia
genus,190583,0.0,0.020279729429158327,5.938547920188067,0.36278609655577165,97.20976557586583,0,31,1.0,1.0,Morella
genus,32,0.0,0.07261451505279272,1.6768281638500255,0.10405787424882876,27.02104681051849,0,111,1.0,1.0,Myxococcus
genus,92914,0.0,0.01635462050738575,7.336141310869513,0.4458729452486765,120.70472072045065,0,25,1.0,1.0,Onopordum
genus,82238,0.0,0.013083696405908597,9.125742603815267,0.5510182991635482,151.13686459688856,0,20,1.0,1.0,Pancratium
genus,32100,0.0,0.015700435687090317,7.63562560887268,0.46356580011661014,125.77023245503916,0,24,1.0,1.0,Pteridium
genus,52930,0.0,0.03990527403802122,3.0410982077997035,0.1877719417860069,49.252717000830245,0,61,1.0,1.0,Siphonaria
genus,37504,0.0,0.24924441653255877,0.48921589230169515,0.03049251381353463,7.848883524136084,0,381,0.6312220244460003,1.0,Theonella
genus,434719,0.0,0.028784132092998915,4.203333654229643,0.25842518532972136,68.36800285636681,0,44,1.0,1.0,Vernonanthura
genus,79021,0.0,0.055605709725111536,2.187113029411554,0.1354688557389249,35.31042893460664,0,85,1.0,1.0,Thapsia
genus,49674,0.0,0.026821577632112625,4.507277580333574,0.27680218497729686,73.39375297143675,0,41,1.0,1.0,Trillium
genus,3319,0.24509803921568626,0.18055501040153865,1.3583484670441193,0.19020549549327737,9.700616447153719,1,276,0.5224159332600997,1.0,Abies
genus,52821,0.0,0.28326202718792115,0.43038573338472114,0.026831505887512576,6.903521564449777,0,433,0.6351456746794999,1.0,Alstonia
genus,32071,0.0,0.028784132092998915,4.203333654229643,0.25842518532972136,68.36800285636681,0,44,1.0,1.0,Asplenium
genus,102753,0.0,0.05429734008452068,2.2395282873665154,0.1386886048620507,36.16365565796518,0,83,1.0,1.0,Brickellia
genus,176608,0.0,0.08569821145870131,1.421611106198603,0.08830323267812325,22.8867967340895,0,131,1.0,1.0,Melampodium
genus,2005,0.0,0.014392066046499457,8.314456684346526,0.5035248109414775,137.29251956148255,0,22,1.0,1.0,Microbispora
genus,35912,0.0,0.015046250866794886,7.960597932237818,0.48272014659282364,131.27920988183405,0,23,1.0,1.0,Ophiorrhiza
genus,43174,0.0,0.03794271957713493,3.1971147307744614,0.19729165725367032,51.80929971404,0,58,1.0,1.0,Pedicularis
genus,3328,0.24509803921568626,0.08373565699781502,2.931779791154791,0.40885328091968826,21.023024994416083,1,128,0.29106804307782097,1.0,Picea
genus,48130,0.0,0.031400871374180635,3.856566013451274,0.23740845520212414,62.64773258999906,0,48,1.0,1.0,Amorpha
genus,82256,0.0,0.035980165116248644,3.3699979048816258,0.2078277028928345,54.64567870801458,0,55,1.0,1.0,Zephyranthes
genus,40958,0.0,0.013083696405908597,9.125742603815267,0.5510182991635482,151.13686459688856,0,20,1.0,1.0,Pimpinella
genus,102786,0.0,0.12887440959819968,0.9461320360070031,0.05887225228170103,15.205224785276261,0,197,1.0,1.0,Mikania
genus,5543,0.0,0.3127003441012155,0.38979547724746727,0.024304639714725133,6.251502423651503,0,478,0.642776912173574,1.0,Trichoderma
genus,1495523,0.0,0.019625544608862896,6.133294540201056,0.3744153412088822,100.46944603125601,0,30,1.0,1.0,Heynea
genus,67917,0.0,0.08046473289633788,1.5137785618362827,0.09399619631472686,24.378917702184705,0,123,1.0,1.0,Toona
