rank,taxid,mean_share_odorant,mean_share_background,share_ratio,ratio_ci_lo,ratio_ci_hi,p,n_molecules,n_odorant_molecules,n_background_molecules,q,taxon
class,50557,0.010900530898576566,0.004794205447405555,2.2736887307312887,1.751971567272035,2.879839728448903,9.99950002499875e-05,8621,1957,263882,0.0012453922758407533,Insecta
class,147547,0.002807403181608095,0.005023160622548768,0.5588917800091387,0.42336218346927174,0.7288769846244905,0.0767461626918654,8582,1957,263882,0.29064762978067316,Lecanoromycetes
class,2870,0.0036184429349789245,0.008247722808458981,0.438720240606025,0.23752565990733177,0.6938746144489101,0.01749912504374781,5153,1957,263882,0.0975391230438478,Phaeophyceae
class,147545,0.005795753866759504,0.037811360489850836,0.15328075455828086,0.09513203841887341,0.220005952647924,4.999750012499375e-05,15531,1957,263882,0.0006849657517124144,Eurotiomycetes
class,6042,0.0032374796668114382,0.04695145315634594,0.06895376924822319,0.0488122576354425,0.09843951549935877,4.999750012499375e-05,19198,1957,263882,0.0006849657517124144,Demospongiae
class,147550,0.0052403357096288804,0.03839575459690742,0.13648216488108722,0.09511122697076449,0.1920639950472916,4.999750012499375e-05,16958,1957,263882,0.0006849657517124144,Sordariomycetes
class,58019,0.01655549697031594,0.01599229981460386,1.0352167707109754,0.8336380329395082,1.2507433396564698,0.8277586120693965,11953,1957,263882,0.9978001099945002,Pinopsida
class,1236,0.004882544098156122,0.007859987188740333,0.6211898290560209,0.4040925030440049,0.887040705507964,0.1071446427678616,5302,1957,263882,0.366970401479926,Gammaproteobacteria
class,6101,0.0017572515113236141,0.031181094737081864,0.05635631225076319,0.040445752966789,0.08007340843311017,4.999750012499375e-05,13351,1957,263882,0.0006849657517124144,Anthozoa
class,40674,0.04882784340287586,0.006383906801173455,7.648583371220362,6.587977805154709,8.862507100855623,4.999750012499375e-05,3959,1957,263882,0.0006849657517124144,Mammalia
class,186770,0.0002687295075006776,0.0009353543820490511,0.2873023451410795,0.17974689984744766,0.4279790394143613,0.32823358832058397,1106,1957,263882,0.8647692615369231,Marchantiopsida
class,155619,0.01174166400173311,0.02810517170891333,0.41777592121984214,0.3325531645707423,0.5139594275810918,4.999750012499375e-05,16232,1957,263882,0.0006849657517124144,Agaricomycetes
class,2315759,7.680978513301565e-05,2.013214646318036e-05,3.8152804656718007,0.9377440256550559,7.924301004421329,0.04814759262036898,133,1957,263882,0.19988546027244092,Polypodiozoa
class,3028117,0.0011479371444117407,0.013647286119788946,0.08411468290000895,0.04380923353587998,0.13798830428543,4.999750012499375e-05,5784,1957,263882,0.0006849657517124144,Cyanophyceae
class,1521260,0.00024078604470054906,0.0025645920902643256,0.09388863266584117,0.051826439999052516,0.14988125413441025,0.03214839258037098,1696,1957,263882,0.14681099278369414,Lycopodiopsida
class,28211,0.0020473246239308238,0.001880057093992126,1.0889693884686877,0.6036913292239844,1.8054582756312196,0.872006399680016,1716,1957,263882,0.9978001099945002,Alphaproteobacteria
class,6658,0.0006847512820529851,0.00019241496762122237,3.5587214992596063,1.4409328927188119,6.614007710573043,0.05329733513324334,214,1957,263882,0.21475690921336288,Branchiopoda
class,2806,0.0028434585928674735,0.011163957863997147,0.25469986787010324,0.17475355696500175,0.3498136328113472,0.00044997750112494374,7315,1957,263882,0.005137243137843107,Florideophyceae
class,241806,0.004378565146436889,0.006653134378186383,0.6581206537467333,0.4394565634812567,0.9507108719046959,0.1535923203839808,8269,1957,263882,0.4477052743107525,Polypodiopsida
class,7713,0.00034538970718142966,0.006380009318172997,0.05413623867250663,0.03320716688216883,0.07946159416219951,0.0009499525023748813,3813,1957,263882,0.009295963773239909,Ascidiacea
class,186771,0.0019656024086577876,0.0056694956375985,0.3466979312273327,0.2564887217018727,0.4484469749253957,0.020598970051497426,3788,1957,263882,0.10854072680981336,Jungermanniopsida
class,6448,0.003395608098521001,0.006859067807370996,0.49505387523242744,0.2997164502897737,0.7631755720339604,0.04084795760211989,6121,1957,263882,0.1805216190803363,Gastropoda
class,5257,1.586737076087572e-05,0.00012678886340568928,0.12514798488337675,0.014308749175204388,0.3281576542667841,0.5409729513524324,189,1957,263882,0.9978001099945002,Ustilaginomycetes
class,186623,0.0013882967348824483,0.000985072279107359,1.4093348928065241,1.0002049275411,1.9058559265757977,0.48672566371681414,2250,1957,263882,0.9978001099945002,Actinopteri
class,147549,0.0006650779817445673,0.00053228518606655,1.2494767826610425,0.666000680816956,2.1118806500457,0.712264386780661,558,1957,263882,0.9978001099945002,Pezizomycetes
class,32015,3.551746881890997e-05,0.001753917989989058,0.020250358923071168,0.0063096726789219175,0.03732947982770201,0.059147042647867604,841,1957,263882,0.23151842407879605,Myxococcia
class,6854,0.0005780800839493016,0.0004472160664323213,1.2926192222049437,0.5287403400814159,2.2842470236425907,0.7940102994850258,480,1957,263882,0.9978001099945002,Arachnida
class,147539,2.6109053733332484e-05,0.00010218891430946426,0.2554979070847647,0.008897083821464433,0.7009140522653843,0.5826208689565522,217,1957,263882,0.9978001099945002,Arthoniomycetes
class,2864,0.001087376894416271,0.002139628858411147,0.508208182994755,0.2487134795782481,0.8950086061078403,0.27473626318684063,1658,1957,263882,0.7380170207175916,Dinophyceae
class,3214,0.0004456774358108651,0.0005678335825285832,0.7848733317713397,0.328923512109963,1.437012951271045,0.7893605319734013,1144,1957,263882,0.9978001099945002,Bryopsida
class,6074,0.0005438538623493735,0.0005033549570340549,1.0804579447353662,0.7219458001086281,1.546761053452801,0.9321033948302585,696,1957,263882,0.9978001099945002,Hydrozoa
class,8504,0.00012466900567789017,0.0001933234851683884,0.6448725335636336,0.18991758016511123,1.4117982416805681,0.7562621868906555,582,1957,263882,0.9978001099945002,Lepidosauria
class,6605,9.2915252518273e-05,7.007005377869806e-05,1.3260336978151441,0.66973898848197,2.3466202594119228,0.8587570621468926,365,1957,263882,0.9978001099945002,Cephalopoda
